STATE FIPS FIPSNAME
TX 48391 Refugio, TX
TX 48409 San Patricio, TX
TX 48427 Starr, TX
TX 48457 Tyler, TX
TX 48469 Victoria, TX
TX 48473 Waller, TX
TX 48477 Washington, TX
TX 48479 Webb, TX
TX 48481 Wharton, TX
TX 48489 Willacy, TX
VA 51001 Accomack, VA
VA 51007 Amelia, VA
VA 51011 Appomattox, VA
VA 51013 Arlington, VA
VA 51029 Buckingham, VA
VA 51033 Caroline, VA
VA 51036 Charles City, VA
VA 51041 Chesterfield, VA
VA 51049 Cumberland, VA
VA 51053 Dinwiddie, VA
VA 51057 Essex, VA
VA 51059 Fairfax, VA
VA 51061 Fauquier, VA
VA 51065 Fluvanna, VA
VA 51073 Gloucester, VA
VA 51075 Goochland, VA
VA 51085 Hanover, VA
VA 51087 Henrico, VA
VA 51093 Isle of Wight, VA
VA 51095 James City, VA
VA 51097 King and Queen, VA
VA 51099 King George, VA
VA 51101 King William, VA
VA 51103 Lancaster, VA
VA 51109 Louisa, VA
VA 51115 Mathews, VA
VA 51119 Middlesex, VA
VA 51127 New Kent, VA
VA 51131 Northampton, VA
VA 51133 Northumberland, VA
VA 51135 Nottoway, VA
VA 51137 Orange, VA
VA 51145 Powhatan, VA
VA 51147 Prince Edward, VA
VA 51149 Prince George, VA
VA 51153 Prince William, VA 
VA 51159 Richmond, VA
VA 51177 Spotsylvania, VA
VA 51179 Stafford, VA
VA 51181 Surry, VA
VA 51193 Westmoreland, VA
VA 51199 York, VA
VA 51510 Alexandria, VA
VA 51550 Chesapeake, VA
VA 51570 Colonial Heights, VA
VA 51600 Fairfax, VA
VA 51610 Falls Church, VA
VA 51630 Fredericksburg, VA
VA 51650 Hampton, VA
VA 51670 Hopewell, VA
VA 51683 Manassas, VA
VA 51685 Manassas Park, VA
VA 51700 Newport News, VA
VA 51710 Norfolk, VA
VA 51730 Petersburg, VA
VA 51735 Poquoson, VA
VA 51740 Portsmouth, VA
VA 51760 Richmond, VA
VA 51800 Suffolk, VA
VA 51810 Virginia Beach, VA
VA 51830 Williamsburg, VA
WI 55003 Ashland, WI
WI 55007 Bayfield, WI
WI 55009 Brown, WI
WI 55015 Calumet, WI 
WI 55029 Door, WI
WI 55031 Douglas, WI
WI 55037 Florence, WI
WI 55039 Fond du Lac, WI
WI 55041 Forest, WI
WI 55051 Iron, WI
WI 55059 Kenosha, WI
WI 55061 Kewaunee, WI
WI 55071 Manitowoc, WI
WI 55075 Marinette, WI
WI 55078 Menominee, WI
WI 55079 Milwaukee, WI
WI 55083 Oconto, WI
WI 55087 Outagamie, WI
WI 55089 Ozaukee, WI
WI 55101 Racine, WI
WI 55115 Shawano, WI
WI 55117 Sheboygan, WI
WI 55131 Washington, WI 
